C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
1863;* 44 Cyg                           ;*  ;20 30 59.2290678096 +36 56 09.023582544;7.93     ;7.160    ;6.216    ;6.90     ;4.64     ;F5Ib                 ; 161;   0
1864;* lam Cyg                          ;** ;20 47 24.53766 +36 29 26.5737          ;3.93     ;4.43     ;4.54     ;4.58     ;4.69     ;B5V                  ; 312;   0
1865;V* T Cyg                           ;AB*;20 47 10.7523451296 +34 22 26.841017100;     ~   ;6.224    ;4.930    ;5.33     ;     ~   ;K3III                ;  79;   0
1866;* h02 Pup                          ;SB*;08 14 02.9293688256 -40 20 52.321700292;6.70     ;5.61     ;4.44     ;3.60     ;2.96     ;K1II/III             ;  51;   0
1867;* sig Pup                          ;SB*;07 29 13.8326369825 -43 18 05.167418899;6.54     ;4.77     ;3.25     ;2.04     ;1.12     ;K5III                ; 141;   0
1868;* L02 Pup                          ;AB*;07 13 32.3185436236 -44 38 22.951891964;7.90     ;6.66     ;5.10     ;2.49     ;0.07     ;M5IIIe               ; 230;   0
1869;* del Hor                          ;** ;04 10 50.5707258980 -41 59 37.113990887;5.33     ;5.26     ;4.93     ;4.58     ;4.37     ;F2IV/V               ;  85;   0
1870;* alf Hor                          ;PM*;04 14 00.1142226166 -42 17 39.726755131;5.97     ;4.96     ;3.86     ;3.00     ;2.41     ;K2III                ; 150;   0
1871;* y Eri                            ;*  ;03 37 05.6780365944 -40 16 28.777210320;6.39     ;5.62     ;4.58     ;3.74     ;3.17     ;K1III                ;  73;   0
1872;HD 21175                           ;PM*;03 23 35.2554696024 -40 04 34.964662908;8.302    ;7.758    ;6.903    ;6.439    ;5.986    ;K0V                  ;  93;   0
1873;* l Vel                            ;PM*;09 15 36.7081382568 -38 34 11.794659636;7.11     ;6.05     ;4.94     ;4.15     ;3.58     ;K1III                ;  49;   0
1874;* k Vel                            ;*  ;09 15 45.0797665800 -37 24 47.317883724;5.17     ;5.07     ;4.62     ;4.24     ;3.96     ;F3/5V                ;  83;   0
1875;HD 73882                           ;** ;08 39 09.53412 -40 25 09.2608          ;7.07     ;7.59     ;7.19     ;6.67     ;6.30     ;O8.5IV               ; 262;   1
1876;* e Vel                            ;*  ;08 37 38.6329621595 -42 59 20.690278719;4.39     ;4.24     ;4.14     ;3.98     ;3.85     ;A7Ia                 ;  85;   0
1877;HD 68601                           ;*  ;08 11 25.8929758631 -42 59 14.200520534;5.00     ;4.93     ;4.75     ;4.51     ;4.29     ;A5Ib                 ;  58;   0
1878;* Q Pup                            ;PM*;07 48 20.1597251848 -47 04 39.807244531;6.69     ;5.77     ;4.71     ;3.95     ;3.38     ;K0IIIb               ;  57;   0
1879;* P Pup                            ;** ;07 49 14.2975995620 -46 22 23.518739728;2.92     ;3.93     ;4.11     ;4.19     ;4.36     ;B0III                ; 162;   0
1880;* I Pup                            ;a2*;07 12 33.6251363845 -46 45 33.496585918;4.80     ;4.81     ;4.49     ;4.17     ;3.95     ;F3VFe-1.0            ; 146;   0
1881;HD 56456                           ;*  ;07 14 38.1406186 -48 16 18.942036      ;4.37     ;4.66     ;4.76     ;4.77     ;4.85     ;B8/9V                ;  54;   0
1882;HD 51799                           ;*  ;06 56 15.9898814062 -48 43 16.116100754;8.56     ;6.64     ;4.95     ;3.47     ;2.29     ;M1III                ;  42;   0
1883;* eta02 Pic                        ;PM*;05 04 58.0142014896 -49 34 40.202725008;8.35     ;6.47     ;5.01     ;3.81     ;2.90     ;K5III                ;  54;   0
1884;HD 31274                           ;*  ;04 52 02.0066896512 -46 51 08.783341704;8.87     ;8.09     ;7.13     ;6.36     ;5.84     ;K0IIICN-1CH-3.5      ;  36;   0
1885;V* GP Vel                          ;HXB;09 02 06.8608812864 -40 33 16.899168060;6.85     ;7.37     ;6.87     ;6.31     ;6.05     ;B0.5Ia               ;1591;   0
1886;HD 77320                           ;Be*;09 00 22.2552895536 -43 10 26.376862224;5.16     ;5.93     ;6.08     ;6.07     ;6.19     ;B2Vnn(e)             ;  98;   0
1887;HD 75860                           ;s*b;08 50 53.2419265893 -43 45 05.431137671;8.05     ;8.30     ;7.58     ;6.83     ;6.23     ;B1.5Iabp             ;  96;   0
1888;HD 74371                           ;s*b;08 41 56.9097314184 -45 24 38.562399648;4.94     ;5.378    ;5.227    ;6.75     ;     ~   ;B6Iab/b              ;  98;   0
1889;HD 72127                           ;** ;08 29 27.48346 -44 43 29.3236          ;4.04     ;4.95     ;5.15     ;6.59     ;     ~   ;B3III/IV             ;  86;   0
1890;* gam02 Vel                        ;WR*;08 09 31.95013 -47 20 11.7108          ;0.64     ;1.58     ;1.83     ;1.85     ;2.00     ;WC8+O7.5III-V        ; 953;   0
1891;* J Pup                            ;s*b;07 53 18.1574768969 -48 06 10.566474468;3.11     ;4.10     ;4.24     ;4.26     ;4.38     ;B0.5Ib               ; 249;   0
1892;* y03 Pup                          ;cC*;07 38 18.2084341776 -48 36 05.164557768;     ~   ;6.314    ;5.658    ;6.94     ;     ~   ;F7Ib/II              ; 133;   0
1893;HD 64740                           ;*  ;07 53 03.6344819483 -49 36 46.956285817;3.48     ;4.40     ;4.63     ;4.76     ;4.97     ;B2V                  ; 223;   0
1894;* alf Car                          ;*  ;06 23 57.10988 -52 41 44.3810          ;-0.49    ;-0.59    ;-0.74    ;-0.96    ;-1.13    ;A9II                 ; 461;   1
1895;* bet Pic                          ;PM*;05 47 17.0876901 -51 03 59.441135      ;4.13     ;4.03     ;3.86     ;3.74     ;3.58     ;A6V                  ;2090;   1
1896;* e Eri                            ;PM*;03 19 55.6509122226 -43 04 11.215188426;5.20     ;4.98     ;4.27     ;3.65     ;3.25     ;G6V                  ; 502;   1
1897;* psi Vel                          ;** ;09 30 41.99958 -40 28 00.2616          ;3.89     ;3.96     ;3.60     ;3.24     ;3.02     ;F3VFe-0.7            ; 123;   0
1898;* lam Vel                          ;s*r;09 07 59.75787 -43 25 57.3273          ;5.67     ;3.86     ;2.21     ;0.97     ;0.03     ;K4Ib                 ; 230;   0
1899;HD 79186                           ;s*b;09 11 04.3980934536 -44 52 04.448548776;4.65     ;5.22     ;5.00     ;4.71     ;4.49     ;B5Ia                 ; 149;   0
1900;* a Vel                            ;*  ;08 46 01.6443407807 -46 02 29.501411244;3.86     ;3.91     ;3.91     ;3.86     ;3.73     ;A0II                 ;  66;   0
1901;HD 75149                           ;s*b;08 46 30.5469120768 -45 54 45.019158300;5.25     ;5.677    ;5.459    ;6.77     ;     ~   ;B5Iab                ; 115;   0
1902;HD 75276                           ;*  ;08 47 18.8443975992 -46 09 19.498578984;6.71     ;6.263    ;5.748    ;6.73     ;     ~   ;F0III                ;  81;   0
1903;* f Vel                            ;SB*;08 50 33.4606230120 -46 31 45.075306720;3.92     ;4.90     ;5.11     ;5.20     ;5.36     ;B1Ib                 ; 165;   0
1904;* b Vel                            ;s*y;08 40 37.5712078616 -46 38 55.464392884;4.86     ;4.52     ;3.81     ;3.16     ;2.62     ;F0Ia                 ; 144;   0
1905;* n Vel                            ;*  ;08 41 13.1290014504 -47 19 01.669533384;5.01     ;4.89     ;4.77     ;4.56     ;4.37     ;A5II                 ;  58;   0
1906;* B Vel                            ;SB*;08 22 31.69411 -48 29 25.3631          ;3.83     ;4.67     ;4.82     ;4.86     ;4.99     ;B2III                ;  90;   0
1907;HD 57852                           ;SB*;07 20 21.4227852720 -52 18 41.490780084;     ~   ;6.373    ;5.953    ;6.84     ;8.69     ;F5V                  ;  38;   0
1908;HD 59468                           ;PM*;07 27 25.4642316432 -51 24 09.361548180;7.689    ;7.428    ;6.714    ;6.33     ;5.976    ;G6.5V                ; 151;   0
1909;HD 27274                           ;PM*;04 15 56.9015416381 -53 18 35.306710266;9.843    ;8.759    ;7.634    ;6.967    ;6.412    ;K4.5Vk:              ;  93;   0
1910;HD 20407                           ;PM*;03 15 06.3902054760 -45 39 53.360466948;7.326    ;7.334    ;6.756    ;6.426    ;6.103    ;G5VFe-1.2CH-1        ; 134;   0
1911;* c Vel                            ;PM*;09 04 09.2796508887 -47 05 51.846278984;6.16     ;4.95     ;3.75     ;2.93     ;2.33     ;K2III                ;  72;   0
1912;* D Vel                            ;bC?;08 43 40.2730174416 -49 49 22.082995200;3.93     ;4.96     ;5.16     ;6.76     ;     ~   ;B1/2II/III(n)        ; 101;   0
1913;* C Vel                            ;s*r;08 34 43.5965158752 -49 56 39.127662240;7.72     ;6.34     ;5.01     ;4.04     ;3.36     ;K1.5Ib               ;  45;   0
1914;HD 32778                           ;SB*;05 02 17.0376695709 -56 04 50.163527274;7.687    ;7.652    ;7.021    ;6.66     ;6.293    ;G7VFe-1.4CH-1.2      ; 100;   0
1915;* alf Dor                          ;a2*;04 33 59.77719 -55 02 41.9243          ;2.83     ;3.18     ;3.28     ;3.29     ;3.38     ;B8IIIpSi             ; 151;   0
1916;HD 85512                           ;PM*;09 51 07.0518026760 -43 30 10.023686079;9.963    ;8.83     ;7.651    ;6.934    ;6.319    ;K6Vk:                ; 251;   1
1917;HD 40307                           ;PM*;05 54 04.2405000288 -60 01 24.493007640;8.814    ;8.097    ;7.147    ;6.597    ;6.119    ;K2.5V                ; 306;   1
1918;HD 36435                           ;PM*;05 27 39.3521452752 -60 24 57.586196016;8.068    ;7.75     ;6.983    ;6.573    ;6.191    ;G5V                  ; 129;   0
1919;* kap Eri                          ;*  ;02 26 59.1221115939 -47 42 13.826371650;3.61     ;4.11     ;4.25     ;4.28     ;4.41     ;B7IV                 ; 126;   0
1920;* q Vel                            ;PM*;10 14 44.1556880397 -42 07 18.988830783;3.98     ;3.90     ;3.85     ;3.83     ;3.81     ;A2Va                 ; 146;   0
1921;* m Vel                            ;SB*;09 51 40.6683101976 -46 32 51.440101044;6.77     ;5.78     ;4.58     ;3.75     ;3.12     ;G6IIa                ;  43;   0
1922;* M Vel                            ;PM*;09 36 49.5391581186 -49 21 18.091787493;4.64     ;4.52     ;4.35     ;4.20     ;4.10     ;A7V                  ;  65;   0
1923;HD 80558                           ;s*b;09 18 42.3559197816 -51 33 38.338564212;6.15     ;6.47     ;5.93     ;5.36     ;4.94     ;B6Ia                 ; 124;   0
1924;* f Car                            ;Be*;08 46 42.5482603396 -56 46 11.194513753;3.58     ;4.31     ;4.49     ;4.59     ;4.78     ;B3V(n)               ; 152;   0
1925;HD 66194                           ;Be*;07 58 50.5509433080 -60 49 28.060460040;4.92     ;5.72     ;5.81     ;5.77     ;5.83     ;B3Vn                 ; 153;   0
1926;HD 53143                           ;PM*;06 59 59.6550515452 -61 20 10.252631566;8.035    ;7.609    ;6.803    ;6.375    ;5.99     ;G9V                  ; 186;   0
1927;* bet Dor                          ;cC*;05 33 37.5159729864 -62 29 23.376457680;5.13     ;4.58     ;3.76     ;3.55     ;3.12     ;F8/G0Ib              ; 402;   0
1928;V* R Dor                           ;AB*;04 36 45.59127 -62 04 37.7974          ;7.84     ;6.98     ;5.40     ;2.71     ;-0.44    ;M8III:e              ; 376;   0
1929;* eps Ret                          ;PM*;04 16 29.0281470260 -59 18 07.755891304;6.59     ;5.52     ;4.44     ;3.62     ;3.08     ;K2III                ; 262;   1
1930;V* TW Hor                          ;C* ;03 12 33.1599109680 -57 19 17.577229512;     ~   ;7.93     ;5.71     ;3.78     ;2.40     ;C-N5IIIb:            ; 143;   0
1931;* chi Phe                          ;PM*;02 01 42.3763488264 -44 42 48.626334576;8.45     ;6.63     ;5.14     ;3.92     ;3.03     ;K5IV                 ;  66;   0
1932;HD 87783                           ;** ;10 06 11.21241 -47 22 11.9676          ;     ~   ;     ~   ;     ~   ;6.47     ;     ~   ;K1III+(G)            ;  47;   0
1933;* eta02 Dor                        ;PM*;06 11 14.9816489784 -65 35 21.904881180;8.49     ;6.63     ;5.01     ;3.51     ;2.27     ;M2.5III              ;  61;   0
1934;* del Dor                          ;*  ;05 44 46.3699967519 -65 44 07.793159129;4.69     ;4.57     ;4.36     ;4.10     ;3.93     ;A7V                  ; 139;   0
1935;V* AB Dor                          ;TT*;05 28 44.8712165880 -65 26 55.199147208;8.259    ;7.856    ;6.999    ;6.496    ;5.993    ;K0V                  ;1083;   0
1936;* alf Ret                          ;PM*;04 14 25.4700044050 -62 28 25.692560378;4.90     ;4.27     ;3.36     ;2.71     ;2.27     ;G8IIIa:              ; 129;   0
1937;* del Ret                          ;*  ;03 58 44.7489423689 -61 24 00.668281098;8.15     ;6.19     ;4.57     ;3.23     ;2.19     ;M1.5III              ;  55;   0
1938;* gam Ret                          ;LP*;04 00 53.8076037821 -62 09 33.418260950;7.93     ;6.12     ;4.50     ;2.84     ;1.36     ;M4III                ;  72;   0
1939;* phi Eri                          ;PM*;02 16 30.5860916570 -51 30 43.794586801;3.06     ;3.45     ;3.57     ;3.64     ;3.75     ;B8IV                 ; 161;   0
1940;* psi Phe                          ;LP*;01 53 38.7393120868 -46 18 09.609378142;7.71     ;6.00     ;4.41     ;2.68     ;1.17     ;M4III                ; 118;   0
1941;HD 91805                           ;PM*;10 35 10.4125079496 -43 39 52.512284124;7.75     ;7.04     ;6.10     ;5.32     ;5.32     ;G7IIICH-3            ;  49;   0
1942;* phi Vel                          ;*  ;09 56 51.7408489635 -54 34 04.037484123;2.81     ;3.35     ;3.45     ;3.51     ;3.59     ;B5Ib                 ; 133;   0
1943;* iot Car                          ;*  ;09 17 05.4068572 -59 16 30.835305      ;2.60     ;2.44     ;2.26     ;2.02     ;1.82     ;A7Ib                 ; 166;   0
1944;HD 67199                           ;PM*;08 02 31.1873092344 -66 01 15.382296660;8.656    ;8.049    ;7.166    ;6.685    ;6.259    ;K2Vk:                ;  85;   0
1945;* del Vol                          ;*  ;07 16 49.8219490140 -67 57 25.749643138;5.23     ;4.78     ;3.99     ;3.33     ;2.95     ;F8Ib/II              ;  96;   0
1946;* zet01 Ret                        ;PM*;03 17 46.1634549490 -62 34 31.152456644;6.24     ;6.18     ;5.54     ;5.00     ;4.66     ;G2.5VHdel1           ; 324;   0
1947;* 120 Phe                          ;*  ;01 46 05.9653808568 -50 48 58.516077564;9.04     ;7.08     ;5.49     ;4.00     ;2.73     ;M2III                ;  46;   0
1948;* p Vel                            ;SB*;10 37 18.1504398154 -48 13 32.398269222;4.19     ;4.13     ;3.84     ;3.57     ;3.41     ;kA5hF0VpSr           ; 131;   0
1949;* h Car                            ;*  ;09 34 26.6508147 -59 13 47.107031      ;3.58     ;4.09     ;4.09     ;4.00     ;4.01     ;B5II                 ;  85;   0
1950;V* R Car                           ;Mi*;09 32 14.5961045592 -62 47 20.002588152;8.51     ;7.40     ;6.10     ;5.44     ;2.90     ;M5-8                 ; 182;   0
1951;* nu. Phe                          ;PM*;01 15 11.1214282378 -45 31 53.992580679;5.65     ;5.54     ;4.96     ;4.47     ;4.11     ;F9VFe+0.4            ; 281;   0
1952;* mu. Vel                          ;PM*;10 46 46.1750979464 -49 25 12.935780341;4.16     ;3.59     ;2.69     ;2.01     ;1.52     ;G6III                ; 192;   0
1953;* J Vel                            ;Be*;10 20 54.7957129824 -56 02 35.655748188;3.80     ;4.38     ;4.51     ;6.02     ;     ~   ;B5II                 ; 112;   0
1954;HD 88661                           ;Be*;10 11 46.4595963216 -58 03 37.958712444;4.77     ;5.66     ;5.75     ;5.66     ;5.70     ;B5Vne                ; 161;   0
1955;V* S Car                           ;Mi*;10 09 21.8927735544 -61 32 56.433503472;9.38     ;7.63     ;5.71     ;5.20     ;3.64     ;K5-M6e               ; 144;   0
1956;* ups Car                          ;*  ;09 47 06.12170 -65 04 19.2267          ;     ~   ;3.25     ;2.99     ;4.92     ;     ~   ;A9                   ;  77;   0
1957;* alf Hyi                          ;PM*;01 58 46.1385834212 -61 34 11.359751511;3.33     ;3.13     ;2.84     ;2.55     ;2.39     ;F0IV                 ; 225;   0
1958;* p Eri A                          ;PM*;01 39 47.8126958280 -56 11 35.944312380;     ~   ;6.549    ;5.685    ;6.36     ;     ~   ;K2V                  ; 165;   0
1959;* bet Phe                          ;** ;01 06 05.03952 -46 43 06.2785          ;4.75     ;4.19     ;3.30     ;2.59     ;2.08     ;G8III                ;  87;   0
1960;HD 91619                           ;s*b;10 33 25.3890641664 -58 11 24.536432148;6.21     ;6.61     ;6.26     ;5.79     ;5.51     ;B6Iab                ; 114;   0
1961;V* V399 Car                        ;Ce*;10 27 24.4704883920 -57 38 19.698397044;5.29     ;5.18     ;4.70     ;4.10     ;3.62     ;A9/F0Ia/ab           ; 143;   0
1962;* p Car                            ;Be*;10 32 01.4650915230 -61 41 07.195030368;2.46     ;3.18     ;3.27     ;3.22     ;3.28     ;B4Vne                ; 243;   0
1963;* bet Car                          ;PM*;09 13 11.97746 -69 43 01.9473          ;1.72     ;1.69     ;1.69     ;1.63     ;1.61     ;A1III-               ; 229;   1
1964;* gam Men                          ;PM*;05 31 52.8525856360 -76 20 27.246061076;7.52     ;6.33     ;5.20     ;4.34     ;3.78     ;K2III                ; 114;   0
1965;* gam Hyi                          ;PM*;03 47 14.3406632728 -74 14 20.266351287;6.87     ;4.88     ;3.26     ;1.92     ;0.82     ;M1III                ;  96;   0
1966;* del Hyi                          ;PM*;02 21 44.9423652192 -68 39 33.906922488;4.17     ;4.12     ;4.09     ;4.05     ;4.04     ;A2V                  ; 119;   0
1967;* u Car                            ;PM*;10 53 29.6561115087 -58 51 11.413331344;5.39     ;4.74     ;3.79     ;3.07     ;2.57     ;K0IV                 ; 103;   0
