C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
739 ;* mu. Gem                          ;LP*;06 22 57.62686 +22 30 48.8979          ;  56.39 -110.03     ;14.08     ;54.38      ;0.000181    ;54.38      ;6.37     ;4.51     ;2.87     ;1.30     ;-0.08    ;M3IIIab              
740 ;* 15 Gem                           ;PM*;06 27 46.5618522624 +20 47 22.326637596;-31.857 -45.171     ;4.8076    ;-30.1      ;-0.000100   ;-30.10     ;9.060    ;7.780    ;6.520    ;6.35     ;     ~   ;K2III-IV             
741 ;* nu. Gem                          ;Be*;06 28 57.7861342 +20 12 43.685624      ;   -6.82 -13.10     ;5.99      ;39.40      ;0.000131    ;39.40      ;3.51     ;4.00     ;4.14     ;4.17     ;4.28     ;B6IVe                
742 ;HD 45088                           ;BY*;06 26 10.2546417144 +18 45 24.761018520;-131.618 -150.565   ;68.4142   ;-8.92      ;-0.000030   ;-8.92      ;8.402    ;7.74     ;     ~   ;6.2      ;     ~   ;K2Ve                 
743 ;V* BL Ori                          ;C* ;06 25 28.1742350712 +14 43 19.172149392;  -2.498 -4.450     ;1.3544    ;11.90      ;0.000040    ;11.90      ;11.64    ;8.31     ;6.00     ;4.28     ;2.98     ;C-N5-                
744 ;HD 45829                           ;s*r;06 30 02.2935435288 +07 55 16.010132520;  -0.196 -2.507     ;0.6761    ;11.67      ;0.000039    ;11.67      ;9.87     ;8.27     ;6.71     ;5.62     ;4.84     ;K2Ib                 
745 ;* 13 Mon                           ;sg*;06 32 54.2279021568 +07 19 58.690911432;  -1.698 -4.845     ;1.2159    ;13.21      ;0.000044    ;13.21      ;4.30     ;4.50     ;4.50     ;4.40     ;4.36     ;A0Ib                 
746 ;HD 45910                           ;Be*;06 30 32.9373877056 +05 52 01.204796244;   0.183 -1.289     ;0.9593    ;5.00       ;0.000017    ;5.00       ;6.64     ;7.18     ;6.85     ;6.31     ;5.81     ;B2IIIe               
747 ;* eps Mon                          ;** ;06 23 46.2 +04 35 44                   ;            ~ ~     ;      ~   ;~          ;~           ;~          ;4.65     ;4.51     ;4.31     ;4.12     ;4.02     ;A7IV+F4V             
748 ;HD 46223                           ;Y*O;06 32 09.3068103600 +04 49 24.705695568;   -1.605 0.111     ;0.6968    ;30.40      ;0.000101    ;30.40      ;6.73     ;7.50     ;7.28     ;6.95     ;6.79     ;O4V((f))             
749 ;V* V Mon                           ;S* ;06 22 43.5821819376 -02 11 43.500924636;  5.664 -31.325     ;1.4062    ;23.70      ;0.000079    ;23.70      ;9.03     ;8.26     ;6.87     ;6.41     ;     ~   ;M5-8Se               
750 ;* bet Mon                          ;** ;06 28 49.06971 -07 01 59.0101          ;    -6.86 -2.76     ;4.82      ;17.20      ;0.000057    ;17.20      ;2.85     ;3.59     ;3.74     ;3.75     ;3.91     ;B4Ve+B2Vn(e)+B3V:nne 
751 ;V* HR CMa                          ;SB*;06 32 46.8731198040 -11 09 58.987412460;  -14.835 5.028     ;5.0237    ;2.856060   ;0.000010    ;2.86       ;8.12     ;7.35     ;6.24     ;5.49     ;5.01     ;G9III:Ba3.5          
752 ;* bet CMa                          ;bC*;06 22 41.9853527 -17 57 21.307352      ;    -3.23 -0.78     ;6.62      ;33.70      ;0.000112    ;33.70      ;0.77     ;1.73     ;1.97     ;2.11     ;2.35     ;B1II-III             
753 ;* ksi01 CMa                        ;bC*;06 31 51.3662820799 -23 25 06.319934859;   -3.352 6.157     ;2.1660    ;26.90      ;0.000090    ;26.90      ;3.10     ;4.09     ;4.33     ;4.45     ;4.72     ;B0.7IV               
754 ;HD 45184                           ;PM*;06 24 43.8795895848 -28 46 48.415725948;-165.122 -121.852   ;45.6782   ;-3.828     ;-0.000013   ;-3.83      ;     ~   ;7.01     ;6.39     ;6.24     ;8.94     ;G2Va                 
755 ;* lam CMa                          ;*  ;06 28 10.2080207479 -32 34 48.246033640; -13.777 25.459     ;7.4077    ;41.00      ;0.000137    ;41.00      ;3.70     ;4.31     ;4.48     ;4.54     ;4.70     ;B4V                  
756 ;* psi02 Aur                        ;PM*;06 39 19.8272357400 +42 29 19.955674680; -0.576 -55.657     ;8.0927    ;16.432301  ;0.000055    ;16.43      ;7.36     ;6.05     ;4.82     ;3.92     ;3.31     ;K2-III               
757 ;HD 48228                           ;PM*;06 44 17.3749113336 +40 37 22.581669396;-25.467 -155.680    ;3.2856    ;40.87      ;0.000136    ;40.87      ;     ~   ;8.44     ;     ~   ;6.0      ;     ~   ;M4III                
758 ;V* UU Aur                          ;C* ;06 36 32.8371036984 +38 26 43.819021608;  0.500 -19.758     ;2.0387    ;14.089     ;0.000047    ;14.09      ;     ~   ;7.89     ;5.25     ;3.31     ;1.90     ;C-N5-                
759 ;* eps Gem                          ;*  ;06 43 55.9271511904 +25 07 52.057892524; -4.853 -11.780     ;3.7477    ;7.77       ;0.000026    ;7.77       ;5.85     ;4.39     ;2.98     ;2.01     ;1.40     ;G8Ib                 
760 ;* gam Gem                          ;SB*;06 37 42.71050 +16 23 57.4095          ;   13.81 -54.96     ;29.84     ;-12.63     ;-0.000042   ;-12.63     ;1.98     ;1.92     ;1.92     ;1.86     ;1.87     ;A1.5IV+              
761 ;* 30 Gem                           ;PM*;06 43 59.2871476656 +13 13 40.799645724; -0.452 -52.279     ;10.3816   ;12.304400  ;0.000041    ;12.30      ;6.82     ;5.65     ;4.49     ;3.63     ;3.03     ;K0+IIICa1            
762 ;HD 47127                           ;PM*;06 37 33.9005087784 +12 10 50.004941412;-74.864 -283.982    ;37.5607   ;49.711     ;0.000166    ;49.72      ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G5                   
763 ;HD 48099                           ;Be*;06 41 59.2308626256 +06 20 43.532571372;    1.043 2.752     ;0.7632    ;-651.072021;-0.002169   ;-650.37    ;5.38     ;6.32     ;6.37     ;6.30     ;6.35     ;O5V((f))z+O9:V       
764 ;HD 47240                           ;Pu*;06 37 52.7038930896 +04 57 24.003132228;   -1.047 0.345     ;0.2143    ;33.00      ;0.000110    ;33.00      ;5.65     ;6.35     ;6.20     ;5.98     ;5.87     ;B1Ib                 
765 ;HD 46769                           ;*  ;06 35 15.8285310432 +00 53 24.785166300;  -1.509 -1.372     ;1.302     ;12.90      ;0.000043    ;12.90      ;5.43     ;5.84     ;5.86     ;5.78     ;5.81     ;B7Ib-II              
766 ;HD 47432                           ;Pu*;06 38 38.1872868432 +01 36 48.675208608;  -0.063 -1.435     ;0.5903    ;60.10      ;0.000200    ;60.11      ;5.67     ;6.44     ;6.31     ;6.11     ;6.04     ;O9.7Ib               
767 ;* nu.03 CMa                        ;*  ;06 37 53.4213820872 -18 14 14.930466036;  -7.166 -8.777     ;6.7876    ;-1.09      ;-0.000004   ;-1.09      ;6.61     ;5.60     ;4.43     ;3.56     ;2.97     ;K1-III               
768 ;* nu.02 CMa                        ;PM*;06 36 41.0376788353 -19 15 21.169452656; 62.660 -69.816     ;48.8490   ;2.57       ;0.000009    ;2.57       ;5.96     ;5.011    ;3.91     ;3.13     ;2.61     ;K1.5III-IVFe1        
769 ;* 10 CMa                           ;Be*;06 44 28.4671043496 -31 04 13.892357820;   -3.286 4.201     ;1.6454    ;34.00      ;0.000113    ;34.00      ;4.18     ;5.08     ;5.17     ;5.15     ;5.17     ;B2V                  
770 ;* nu. Pup                          ;*  ;06 37 45.6726263277 -43 11 45.368473041;  -0.537 -3.859     ;8.8194    ;30.90      ;0.000103    ;30.90      ;2.65     ;3.06     ;3.17     ;3.17     ;3.24     ;B8III                
771 ;* psi05 Aur                        ;PM*;06 46 44.3369350032 +43 34 38.728429752; -2.705 164.523     ;60.2024   ;-23.934    ;-0.000080   ;-23.93     ;     ~   ;     ~   ;     ~   ;4.9      ;     ~   ;F9V                  
772 ;* tet Gem                          ;PM*;06 52 47.3388625619 +33 57 40.524337771; -1.705 -47.193     ;16.8701   ;33.37      ;0.000111    ;33.37      ;3.84     ;3.70     ;3.60     ;3.50     ;3.42     ;A2IV                 
773 ;HD 49736                           ;PM*;06 51 00.4293863472 +25 45 37.292012460;10.801 -198.148     ;29.0679   ;6.695      ;0.000022    ;6.70       ;     ~   ;7.56578  ;6.97824  ;6.6      ;     ~   ;F8                   
774 ;* ksi Gem                          ;RG*;06 45 17.3644854477 +12 53 44.141855267;-114.564 -191.671   ;54.1894   ;27.20      ;0.000091    ;27.20      ;3.85     ;3.79     ;3.36     ;2.97     ;2.74     ;F5IV-V               
775 ;* 17 Mon                           ;*  ;06 47 19.8301708488 +08 02 14.122870224;-24.428 -11.916     ;6.3783    ;46.19      ;0.000154    ;46.19      ;7.82     ;6.17     ;4.77     ;3.74     ;3.04     ;K4III                
776 ;* 18 Mon                           ;SB*;06 47 51.6478856352 +02 24 43.835011128;-17.309 -15.921     ;8.2744    ;11.29      ;0.000038    ;11.29      ;6.62     ;5.58     ;4.47     ;3.68     ;3.13     ;K0+III               
777 ;HD 50820                           ;Be*;06 54 42.0425077248 -01 45 23.338676160;  -1.102 -1.491     ;0.6284    ;9.0        ;0.000030    ;9.00       ;6.44     ;6.77     ;6.21     ;5.52     ;4.82     ;B3IVe+K2II           
778 ;* tet CMa                          ;PM*;06 54 11.3988612864 -12 02 19.061163780;-136.654 -14.322    ;12.0676   ;96.20      ;0.000321    ;96.22      ;7.20     ;5.51     ;4.08     ;2.95     ;2.17     ;K3/4III              
779 ;HD 49662                           ;** ;06 48 57.73663 -15 08 41.0004          ;    -2.72 -4.66     ;6.17      ;5          ;0.000017    ;5.00       ;     ~   ;     ~   ;     ~   ;6.96     ;     ~   ;B7IV                 
780 ;* iot CMa                          ;s*b;06 56 08.2245944314 -17 03 15.259069948;   -3.547 3.190     ;0.9453    ;41.75      ;0.000139    ;41.75      ;3.62     ;4.297    ;4.385    ;6.40     ;     ~   ;B3Ib                 
781 ;* 15 CMa                           ;bC*;06 53 32.9069226414 -20 13 27.309395177;   -5.838 4.560     ;2.6820    ;28.00      ;0.000093    ;28.00      ;3.66     ;4.62     ;4.83     ;4.95     ;5.17     ;B1IV                 
782 ;* omi01 CMa                        ;s*r;06 54 07.9522701192 -24 11 03.159501504;   -3.771 4.066     ;1.2869    ;36.3       ;0.000121    ;36.30      ;7.59     ;5.60     ;3.87     ;2.70     ;1.88     ;K2Iab                
783 ;* kap CMa                          ;Be*;06 49 50.4591124672 -32 30 30.523820933;   -8.957 4.464     ;4.8300    ;14.00      ;0.000047    ;14.00      ;2.73     ;3.68     ;3.89     ;3.91     ;4.05     ;B1.5Ve               
784 ;V* NP Pup                          ;C* ;06 54 26.6835568896 -42 21 56.058521256;  -1.568 20.239     ;1.7266    ;32.60      ;0.000109    ;32.60      ;     ~   ;8.49     ;6.27     ;4.55     ;3.28     ;C-N4.5               
785 ;HD 52711                           ;PM*;07 03 30.4592307736 +29 20 13.493121298;156.623 -827.800    ;52.7712   ;24.53      ;0.000082    ;24.53      ;6.57     ;6.53     ;     ~   ;5.6      ;     ~   ;G0V                  
786 ;* 39 Gem                           ;** ;06 58 47.4103324272 +26 04 51.886272900;-162.321 94.102     ;21.9156   ;4.841      ;0.000016    ;4.84       ;     ~   ;     ~   ;     ~   ;5.9      ;     ~   ;F7V                  
787 ;V* R Gem                           ;S* ;07 07 21.2705134872 +22 42 12.747215448;   -8.765 0.665     ;1.1795    ;-45.20     ;-0.000151   ;-45.20     ;11.74    ;9.89     ;7.68     ;3.75     ;0.39     ;S3.5-6.5/6e          
788 ;* 41 Gem                           ;s*r;07 00 15.8233724160 +16 04 44.385187008;  -2.203 -3.776     ;0.7209    ;20.96      ;0.000070    ;20.96      ;9.09     ;7.32     ;5.69     ;4.44     ;3.59     ;K3-Ib                
789 ;HD 51219                           ;PM*;06 56 34.1852718206 +01 09 43.502224489;-8.852 -577.550     ;31.7697   ;-8.041     ;-0.000027   ;-8.04      ;     ~   ;8.11     ;     ~   ;6.9      ;     ~   ;G8V                  
790 ;* 19 Mon                           ;bC*;07 02 54.7772531316 -04 14 21.235613879;   -4.020 2.267     ;2.6167    ;24.8       ;0.000083    ;24.80      ;3.87     ;4.80     ;5.00     ;5.06     ;5.25     ;B2Vn(e)              
791 ;HD 52382                           ;*  ;07 00 39.3387913920 -09 12 10.678730292;   -1.834 0.587     ;0.4038    ;63.09      ;0.000210    ;63.10      ;6.07     ;6.76     ;6.57     ;6.29     ;6.19     ;B0.5Ia               
792 ;HD 53974                           ;** ;07 06 40.76672 -11 17 38.4396          ;     -3.14 3.32     ;1.07      ;31.00      ;0.000103    ;31.00      ;4.59     ;5.44     ;5.39     ;6.80     ;     ~   ;B0IIIn               
793 ;HD 53975                           ;SB*;07 06 35.9651934840 -12 23 38.220633600;   -3.723 0.661     ;0.8668    ;36.00      ;0.000120    ;36.00      ;5.38     ;6.40     ;6.50     ;6.51     ;     ~   ;O7.5Vz               
794 ;* gam CMa                          ;*  ;07 03 45.4934693195 -15 37 59.833212992;  0.931 -11.435     ;7.5819    ;31.1       ;0.000104    ;31.10      ;3.52     ;4.00     ;4.12     ;4.13     ;4.23     ;B8II                 
795 ;HD 54309                           ;Be*;07 07 22.5873962184 -23 50 26.573827884;   -3.402 2.423     ;1.3486    ;20.00      ;0.000067    ;20.00      ;4.83     ;5.68     ;5.83     ;5.83     ;5.95     ;B3Vne                
796 ;* omi02 CMa                        ;s*b;07 03 01.4713413613 -23 49 59.858307121;   -1.335 3.803     ;0.8715    ;48.08      ;0.000160    ;48.08      ;2.14     ;2.94     ;3.02     ;3.01     ;3.10     ;B3Ia                 
797 ;* eps CMa                          ;*  ;06 58 37.54876 -28 58 19.5102          ;      3.24 1.33     ;8.05      ;27.30      ;0.000091    ;27.30      ;0.36     ;1.29     ;1.50     ;1.59     ;1.80     ;B1.5II               
798 ;* sig CMa                          ;s*r;07 01 43.1480404483 -27 56 05.389225598;   -5.714 4.890     ;2.5085    ;22.11      ;0.000074    ;22.11      ;7.08     ;5.20     ;3.47     ;2.15     ;1.15     ;K5Ib                 
799 ;HD 53705                           ;PM*;07 03 57.3152216292 -43 36 28.925859669;-105.047 389.833    ;58.6192   ;88.615     ;0.000296    ;88.63      ;     ~   ;5.94     ;5.28     ;5.05     ;4.71     ;G1.5V                
800 ;HD 53706                           ;PM*;07 03 58.9212523543 -43 36 40.873487765;-101.722 382.507    ;58.6179   ;88.62      ;0.000296    ;88.63      ;7.978    ;7.632    ;6.851    ;6.427    ;6.013    ;K0.5V                
801 ;HD 56124                           ;PM*;07 17 09.5324832360 +33 05 31.395695892;-58.185 -173.277    ;36.6985   ;22.569     ;0.000075    ;22.57      ;7.700    ;7.560    ;     ~   ;6.5      ;     ~   ;G0                   
802 ;* tau Gem                          ;PM*;07 11 08.3703137689 +30 14 42.589571474;-30.725 -48.515     ;8.3261    ;21.27      ;0.000071    ;21.27      ;7.08     ;5.68     ;4.42     ;3.45     ;2.82     ;K2III                
803 ;HD 54371                           ;SB*;07 09 35.3895151440 +25 43 43.131466452;-125.165 -175.120   ;39.3515   ;-3.65      ;-0.000012   ;-3.65      ;8.054    ;7.792    ;7.062    ;6.671    ;6.302    ;G6V                  
804 ;HD 54563                           ;SB*;07 10 06.6783240554 +21 14 49.142081431;-174.249 -473.248   ;22.8738   ;-3.56      ;-0.000012   ;-3.56      ;     ~   ;7.31     ;6.42     ;5.9      ;     ~   ;G8V                  
805 ;* 20 Mon                           ;PM*;07 10 13.6815026472 -04 14 13.585055244; -0.460 217.452     ;16.811    ;77.750     ;0.000259    ;77.76      ;6.73     ;5.95     ;4.92     ;4.13     ;3.61     ;K0III                
806 ;V* W CMa                           ;C* ;07 08 03.4360567560 -11 55 23.796162984;   -6.270 2.485     ;1.4527    ;23.00      ;0.000077    ;23.00      ;13.44    ;8.98     ;6.56     ;4.86     ;3.51     ;C-N5                 
807 ;* 145 CMa                          ;s*r;07 16 36.8345570496 -23 18 56.138269860;   -3.816 3.896     ;1.2155    ;28.05      ;0.000094    ;28.05      ;8.37     ;6.50     ;4.79     ;3.47     ;2.51     ;K3Ib-                
808 ;* del CMa                          ;s*y;07 08 23.4840514 -26 23 35.518484      ;     -3.12 3.31     ;2.03      ;33.67      ;0.000112    ;33.67      ;3.06     ;2.52     ;1.84     ;1.33     ;1.00     ;F8Ia                 
809 ;* ome CMa                          ;Be*;07 14 48.6540133346 -26 46 21.603204215;  -11.617 8.109     ;3.5610    ;23.20      ;0.000077    ;23.20      ;2.90     ;3.64     ;3.82     ;3.80     ;3.90     ;B2.5Ve               
810 ;* 29 CMa                           ;SB*;07 18 40.3789353696 -24 33 31.318248528;   -2.865 3.678     ;0.8549    ;20.00      ;0.000067    ;20.00      ;3.80     ;4.80     ;4.95     ;4.95     ;5.08     ;O7Iafpvar            
811 ;* tau CMa                          ;SB*;07 18 42.4849951654 -24 57 15.700749738;  -1.815 -0.496     ;0.5765    ;49.40      ;0.000165    ;49.40      ;3.26     ;4.25     ;4.40     ;4.44     ;4.62     ;O9II                 
812 ;* 27 CMa                           ;Be*;07 14 15.2117197408 -26 21 09.028965559;   -6.749 4.723     ;2.2694    ;16.30      ;0.000054    ;16.30      ;3.76     ;4.45     ;4.65     ;4.64     ;4.73     ;B4Ve_sh              
813 ;HD 56618                           ;*  ;07 16 34.9928126880 -27 52 52.244563692; -13.193 38.623     ;7.6228    ;41.5       ;0.000138    ;41.50      ;8.12     ;6.24     ;4.64     ;3.16     ;1.91     ;M2III                
814 ;* ups01 Pup                        ;Be*;07 18 18.3935775563 -36 44 02.228526718;  -10.445 5.936     ;3.4962    ;18.6       ;0.000062    ;18.60      ;3.78     ;4.57     ;4.67     ;4.57     ;4.62     ;B2V+B3IVne           
815 ;* ups02 Pup                        ;Be*;07 18 38.1853955232 -36 44 33.854932104;  -10.172 6.621     ;2.9923    ;18.00      ;0.000060    ;18.00      ;4.28     ;4.95     ;5.11     ;5.17     ;5.38     ;B3Vne                
816 ;* pi. Pup                          ;LP*;07 17 08.5580780520 -37 05 50.904468727;  -11.562 6.520     ;5.7621    ;15.80      ;0.000053    ;15.80      ;5.57     ;4.32     ;2.70     ;1.46     ;0.55     ;K4III                
817 ;* A Pup                            ;Ce*;07 08 51.0681448893 -39 39 20.359080790;  -10.577 7.785     ;3.7743    ;19.5       ;0.000065    ;19.50      ;3.96     ;4.65     ;4.83     ;4.90     ;5.05     ;B3IV/V               
818 ;* rho Gem                          ;PM*;07 29 06.71887 +31 47 04.3773          ;  159.09 193.29     ;55.41     ;-2.67      ;-0.000009   ;-2.67      ;4.48     ;4.50     ;4.18     ;3.86     ;3.67     ;F1V                  
819 ;* iot Gem                          ;PM*;07 25 43.5956409143 +27 47 53.086950407;-122.060 -85.133    ;24.0201   ;7.432      ;0.000025    ;7.43       ;5.67     ;4.83     ;3.79     ;3.02     ;2.52     ;G9IIIb               
820 ;* del Gem                          ;SB*;07 20 07.3745658105 +21 58 56.294578663;-27.722 -14.702     ;53.7692   ;4.1        ;0.000014    ;4.10       ;3.91     ;3.87     ;3.53     ;3.17     ;2.98     ;F2VkF0mF0            
